nodeName	altName	nodeAttr[nodesPresent, ]
MMT00000080	Ldb2	blue
MMT00000241	NA	blue
MMT00000268	NA	blue
MMT00000365	Gltp	blue
MMT00000549	NA	blue
MMT00000719	Snrpa	blue
MMT00000792	NA	blue
MMT00001110	Galt	blue
MMT00001291	NA	blue
MMT00001423	NA	blue
MMT00001545	NA	blue
MMT00001732	NA	blue
MMT00001791	4930544G21Rik	blue
MMT00002004	LOC14433	blue
MMT00002048	NA	blue
MMT00002521	NA	blue
MMT00003506	NA	blue
MMT00003672	Ube2m	blue
MMT00003764	NA	blue
MMT00003975	NA	blue
MMT00004176	Cybb	blue
MMT00004227	BC055107	blue
MMT00004841	NA	blue
MMT00004855	H2-T10	blue
MMT00005030	Golph3	blue
MMT00005139	Lactb2	blue
MMT00005318	Tpi	blue
MMT00006194	Mccc1	blue
MMT00006374	NA	blue
MMT00006397	NA	blue
MMT00006408	Rdh11	blue
MMT00006515	NA	blue
MMT00007297	NA	blue
MMT00007538	Cat	blue
MMT00007996	NA	blue
MMT00008045	Tpm3	blue
MMT00008174	NA	blue
MMT00008457	Hdac10	blue
MMT00008587	NA	blue
MMT00008782	NA	blue
MMT00008789	Insig1	blue
MMT00008908	Ube2n	blue
MMT00009011	Dlat	blue
MMT00009278	NA	blue
MMT00009375	NA	blue
MMT00009506	Acas2	blue
MMT00009560	NA	blue
MMT00009718	Trib1	blue
MMT00010456	Dpyd	blue
MMT00010595	C230043N17Rik	blue
MMT00010823	Rpl29	blue
MMT00010854	NA	blue
MMT00011246	NA	blue
MMT00011470	Khk	blue
MMT00012502	Ass1	blue
MMT00012566	BC036563	blue
MMT00012632	Eno1	blue
MMT00012675	Fads2	blue
MMT00013125	LOC14433	blue
MMT00013155	Laptm4b	blue
MMT00013398	Wnt6	blue
MMT00013585	Actg	blue
MMT00013799	Gjc1	blue
MMT00014416	NA	blue
MMT00014573	Gpam	blue
MMT00015274	NA	blue
MMT00015391	Hipk3	blue
MMT00015548	NA	blue
MMT00015583	NA	blue
MMT00015935	NA	blue
MMT00015970	Csf3r	blue
MMT00016022	Nudt12	blue
MMT00016157	Gck	blue
MMT00016374	6330403K07Rik	blue
MMT00016981	NA	blue
MMT00016989	Ifi47	blue
MMT00017186	NA	blue
MMT00017256	LOC14433	blue
MMT00017480	NA	blue
